File (ID),Volume (mm³),Surface Area (mm²),Length (mm),Width (mm),Height (mm),Mass (g)
0609_15_mesh_1.ply,1867.618,1256.019,52.153,10.548,11.467,
0609_15_mesh_10.ply,1054.781,882.158,31.293,18.498,9.388,
0609_15_mesh_11.ply,595.256,573.707,34.210,6.429,6.391,
0609_15_mesh_12.ply,442.337,446.019,27.375,7.964,6.024,
0609_15_mesh_2.ply,1457.184,1253.978,67.023,11.204,7.204,
0609_15_mesh_3.ply,603.500,687.849,45.360,12.235,6.980,
0609_15_mesh_4.ply,1237.230,1145.057,66.386,15.777,7.500,
0609_15_mesh_5.ply,1243.285,1001.158,54.881,15.194,9.127,
0609_15_mesh_6.ply,764.046,824.835,61.169,10.246,11.050,
0609_15_mesh_7.ply,3050.052,1849.277,68.848,26.319,9.789,
0609_15_mesh_8.ply,1139.988,903.243,41.062,14.454,8.111,
0609_15_mesh_9.ply,1109.401,938.848,51.557,11.907,6.819,
0609_16_mesh_1.ply,6007.650,3692.432,135.409,17.087,16.486,
0609_16_mesh_2.ply,1724.405,2165.780,112.427,35.761,24.661,
0609_16_mesh_3.ply,1858.279,1229.183,55.714,11.044,9.438,
0609_16_mesh_4.ply,165.876,279.735,31.751,5.924,3.922,
0609_16_mesh_5.ply,2218.302,1333.451,51.196,12.975,9.428,
0609_16_mesh_6.ply,1443.409,1261.136,56.179,13.145,8.330,
0609_16_mesh_7.ply,1194.399,914.550,41.396,10.135,8.215,
0609_16_mesh_8.ply,533.433,510.051,31.211,7.757,6.053,
0609_17_mesh_1.ply,999.614,782.657,38.513,10.888,9.185,
0609_17_mesh_10.ply,380.467,393.076,26.419,7.756,5.376,
0609_17_mesh_11.ply,970.609,1052.838,73.954,18.694,8.706,
0609_17_mesh_12.ply,509.091,420.941,20.987,7.380,6.725,
0609_17_mesh_13.ply,2282.289,1489.828,55.898,19.962,10.367,
0609_17_mesh_14.ply,316.817,357.257,24.888,7.854,4.932,
0609_17_mesh_15.ply,434.252,414.981,27.252,8.241,5.761,
0609_17_mesh_16.ply,594.834,527.586,29.204,9.252,5.951,
0609_17_mesh_2.ply,251.202,372.858,21.343,9.660,5.400,
0609_17_mesh_3.ply,1163.960,777.154,33.549,8.571,8.186,
0609_17_mesh_4.ply,379.809,389.884,25.350,6.112,5.310,
0609_17_mesh_5.ply,371.961,442.733,29.494,7.442,6.116,
0609_17_mesh_6.ply,314.847,375.574,31.781,5.302,5.014,
0609_17_mesh_7.ply,632.580,496.443,25.830,7.159,6.912,
0609_17_mesh_8.ply,376.484,334.916,19.299,7.499,6.094,
0609_17_mesh_9.ply,507.978,626.773,52.582,9.913,4.995,
0609_18_mesh_1.ply,376.293,525.956,46.065,9.009,4.898,
0609_18_mesh_10.ply,550.047,564.626,28.615,10.806,6.319,
0609_18_mesh_11.ply,1048.081,884.005,43.486,8.603,7.217,
0609_18_mesh_12.ply,1322.351,1315.323,80.439,12.531,10.105,
0609_18_mesh_13.ply,704.676,623.887,31.041,10.280,6.813,
0609_18_mesh_2.ply,315.013,528.235,44.482,11.855,4.454,
0609_18_mesh_3.ply,200.217,793.949,88.260,9.171,5.871,
0609_18_mesh_4.ply,2325.630,2393.580,144.380,20.489,10.646,
0609_18_mesh_5.ply,103.050,206.451,19.447,5.470,4.045,
0609_18_mesh_6.ply,97.681,273.835,33.827,4.346,4.400,
0609_18_mesh_7.ply,1057.692,852.237,40.253,9.147,9.443,
0609_18_mesh_8.ply,919.619,852.773,47.358,9.410,7.180,
0609_18_mesh_9.ply,1147.277,956.724,47.921,9.334,7.394,
0609_19_mesh_1.ply,589.734,691.650,44.304,12.192,7.996,
0609_19_mesh_10.ply,387.745,362.155,15.125,11.916,6.672,
0609_19_mesh_11.ply,710.499,550.180,22.670,10.437,8.372,
0609_19_mesh_12.ply,126.076,226.464,22.193,4.868,4.398,
0609_19_mesh_13.ply,1239.658,772.380,26.116,11.621,10.687,
0609_19_mesh_14.ply,724.281,640.108,30.223,8.053,7.269,
0609_19_mesh_15.ply,349.514,389.062,28.335,8.415,5.144,
0609_19_mesh_16.ply,2070.376,1312.436,45.625,15.008,15.224,
0609_19_mesh_17.ply,241.748,336.349,30.635,8.637,5.016,
0609_19_mesh_18.ply,1222.823,1005.445,57.149,8.008,8.976,
0609_19_mesh_2.ply,279.942,371.795,21.452,6.120,4.990,
0609_19_mesh_3.ply,218.555,224.223,11.549,7.814,7.625,
0609_19_mesh_4.ply,969.784,823.215,49.195,7.416,6.526,
0609_19_mesh_5.ply,287.435,330.824,24.587,6.496,4.705,
0609_19_mesh_6.ply,251.064,282.016,20.178,7.635,5.078,
0609_19_mesh_7.ply,185.480,318.421,24.199,7.849,4.487,
0609_19_mesh_8.ply,260.272,323.699,26.320,10.115,6.671,
0609_19_mesh_9.ply,450.147,564.242,46.945,7.971,4.810,
0609_20_mesh_1.ply,161.554,252.435,23.087,10.029,4.897,
0609_20_mesh_10.ply,38.707,196.462,13.014,7.484,5.284,
0609_20_mesh_11.ply,116.644,246.459,33.770,5.151,2.909,
0609_20_mesh_12.ply,181.165,286.140,29.364,6.029,5.006,
0609_20_mesh_13.ply,102.305,186.221,22.773,3.442,3.104,
0609_20_mesh_14.ply,146.789,177.672,10.708,5.647,5.002,
0609_20_mesh_15.ply,240.193,274.368,15.805,10.195,5.906,
0609_20_mesh_16.ply,41.915,104.245,12.470,4.271,2.072,
0609_20_mesh_17.ply,126.583,162.081,12.526,7.892,3.959,
0609_20_mesh_18.ply,113.825,193.603,22.604,4.618,3.324,
0609_20_mesh_19.ply,214.584,289.615,25.782,8.774,4.928,
0609_20_mesh_2.ply,164.160,335.344,29.385,9.394,4.175,
0609_20_mesh_20.ply,48.103,129.109,14.154,4.739,3.203,
0609_20_mesh_21.ply,89.915,177.240,16.652,7.837,5.013,
0609_20_mesh_22.ply,59.194,133.803,10.020,6.155,3.774,
0609_20_mesh_23.ply,241.288,292.434,23.590,5.616,4.151,
0609_20_mesh_24.ply,155.166,216.428,12.954,7.762,5.386,
0609_20_mesh_25.ply,73.924,103.741,7.236,5.597,4.381,
0609_20_mesh_26.ply,116.436,190.571,17.301,4.776,4.384,
0609_20_mesh_27.ply,22.693,137.709,11.013,6.270,4.360,
0609_20_mesh_28.ply,217.338,267.487,22.325,8.944,5.969,
0609_20_mesh_29.ply,293.149,296.431,19.278,5.569,5.152,
0609_20_mesh_3.ply,92.451,169.345,15.899,4.634,3.498,
0609_20_mesh_30.ply,338.371,415.033,28.679,11.517,4.896,
0609_20_mesh_31.ply,374.322,344.851,20.870,7.414,5.726,
0609_20_mesh_32.ply,126.622,185.677,16.632,7.260,4.510,
0609_20_mesh_4.ply,66.386,144.134,12.665,4.972,3.907,
0609_20_mesh_5.ply,151.128,220.657,22.122,4.464,3.920,
0609_20_mesh_6.ply,258.631,430.197,43.129,9.322,5.951,
0609_20_mesh_7.ply,82.000,203.385,19.747,6.869,3.480,
0609_20_mesh_8.ply,111.759,150.487,10.910,4.644,5.253,
0609_20_mesh_9.ply,164.109,268.536,24.508,5.760,4.648,
0609_21_mesh_1.ply,156.026,212.029,14.577,7.265,5.497,
0609_21_mesh_10.ply,57.095,85.299,6.688,4.623,4.226,
0609_21_mesh_11.ply,116.777,168.486,12.957,5.618,3.847,
0609_21_mesh_12.ply,102.517,161.123,15.865,3.783,4.017,
0609_21_mesh_13.ply,84.163,143.627,11.840,5.323,3.320,
0609_21_mesh_14.ply,184.380,225.825,14.202,6.299,5.092,
0609_21_mesh_15.ply,47.046,114.408,11.444,6.139,3.100,
0609_21_mesh_16.ply,133.439,176.513,14.320,5.706,4.026,
0609_21_mesh_17.ply,149.474,158.132,6.960,6.803,5.811,
0609_21_mesh_18.ply,196.186,224.972,15.003,5.573,5.510,
0609_21_mesh_19.ply,135.113,162.372,11.833,5.594,5.509,
0609_21_mesh_2.ply,40.531,79.951,7.389,4.054,4.437,
0609_21_mesh_20.ply,308.093,328.530,22.909,5.790,4.580,
0609_21_mesh_21.ply,81.662,181.068,12.003,9.782,3.885,
0609_21_mesh_22.ply,114.254,240.121,28.238,4.607,4.218,
0609_21_mesh_23.ply,56.135,93.267,8.475,4.026,3.264,
0609_21_mesh_24.ply,67.449,122.019,9.111,6.503,3.848,
0609_21_mesh_25.ply,57.710,87.406,7.866,3.964,3.902,
0609_21_mesh_26.ply,241.816,234.054,12.673,6.266,5.327,
0609_21_mesh_27.ply,61.947,100.156,7.446,4.940,4.019,
0609_21_mesh_28.ply,191.224,230.340,18.036,5.518,3.994,
0609_21_mesh_29.ply,134.772,281.065,18.905,10.252,5.491,
0609_21_mesh_3.ply,348.177,354.110,18.424,9.263,6.097,
0609_21_mesh_30.ply,87.341,204.316,13.608,9.456,4.289,
0609_21_mesh_31.ply,35.772,183.047,10.457,7.420,4.243,
0609_21_mesh_32.ply,110.693,184.129,16.899,4.467,4.106,
0609_21_mesh_33.ply,203.264,226.119,14.401,5.440,5.423,
0609_21_mesh_34.ply,50.636,89.090,10.422,3.446,3.706,
