File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
0526_03_mesh_1.ply,10.114,44.121,6.821,3.763,1.579,0.004
0526_03_mesh_2.ply,14.54,58.597,5.707,5.261,1.716,0.007
0526_03_mesh_3.ply,8.43,43.922,4.943,5.894,1.707,0.01
0526_03_mesh_4.ply,20.131,75.562,9.354,5.714,2.097,0.009
0526_03_mesh_5.ply,17.762,90.731,6.301,5.749,2.942,0.005
0526_03_mesh_6.ply,12.387,48.688,6.035,5.425,1.509,0.003
0526_03_mesh_7.ply,12.781,83.299,10.501,6.879,1.743,0.004
0526_03_mesh_8.ply,1305.529,1102.622,17.34,16.321,14.585,
0526_03_mesh_9.ply,5.785,37.746,6.02,4.132,1.147,0.004
